rolle,brukerprinsipal,enhet_id,tilgangstype
Sunnaas sykehus HF,sunnaas.sykehus.hf@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Oslo universitetssykehus HF,oslo.universitetssykehus.hf@eksempel.no,e2434fbb4a8f9007009978caf8baff85,Detalj
"Revmatismesykehuset AS, Lillehammer","revmatismesykehuset.as,.lillehammer@eksempel.no",9c2c37a0154c6f359736823668280fc1,Detalj
Lovisenberg diakonale sykehus AS,lovisenberg.diakonale.sykehus.as@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Helse Førde HF,helse.førde.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
St. Olavs Hospital HF,st..olavs.hospital.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Helgelandssykehuset HF,helgelandssykehuset.hf@eksempel.no,15272992f7b06e03bec1b0dc00860aca,Referanse
Oslo universitetssykehus HF,oslo.universitetssykehus.hf@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Sykehuset i Vestfold HF,sykehuset.i.vestfold.hf@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Nordlandssykehuset HF,nordlandssykehuset.hf@eksempel.no,b7a4e881a7d1e0c23d5b7acaede49b80,Detalj
Sørlandet sykehus HF,sørlandet.sykehus.hf@eksempel.no,09b0572cb34b4d7de468f14c67004de0,Detalj
Vestre Viken HF,vestre.viken.hf@eksempel.no,d8ae215b4f044493946556b3a41ddce5,Detalj
Helse Nord-Trøndelag HF,helse.nord-trøndelag.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
"Revmatismesykehuset AS, Lillehammer","revmatismesykehuset.as,.lillehammer@eksempel.no",1706cba8312dd56cea5861182dd42acc,Referanse
Martina Hansens Hospital,martina.hansens.hospital@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Helse Stavanger HF,helse.stavanger.hf@eksempel.no,e0e91091a913c8c0ca9fb54de1618f9c,Referanse
Sykehuset Innlandet HF,sykehuset.innlandet.hf@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Haraldsplass Diakonale Sykehus AS,haraldsplass.diakonale.sykehus.as@eksempel.no,c481d39e5b8dc15c1ca1af1092fd2cf7,Detalj
Akershus universitetssykehus HF,akershus.universitetssykehus.hf@eksempel.no,18f2307bf61115bb27168b2125b044db,Detalj
Universitetssykehuset Nord-Norge HF,universitetssykehuset.nord-norge.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Diakonhjemmet sykehus AS,diakonhjemmet.sykehus.as@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Lovisenberg diakonale sykehus AS,lovisenberg.diakonale.sykehus.as@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Akershus universitetssykehus HF,akershus.universitetssykehus.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Sunnaas sykehus HF,sunnaas.sykehus.hf@eksempel.no,78c9ec6d657f8789684a8fbc04ca6641,Detalj
St. Olavs Hospital HF,st..olavs.hospital.hf@eksempel.no,78cde04afdaefe6bee79fcd6d62a9ebf,Detalj
St. Olavs Hospital HF,st..olavs.hospital.hf@eksempel.no,3412aac9823efaa7a9b4f1bb2fb3a6f7,Referanse
Vestre Viken HF,vestre.viken.hf@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Vestre Viken HF,vestre.viken.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Helse Stavanger HF,helse.stavanger.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Finnmarkssykehuset HF,finnmarkssykehuset.hf@eksempel.no,2bfd9c2e05ceea5644b623422bb85050,Detalj
Sykehuset Innlandet HF,sykehuset.innlandet.hf@eksempel.no,157214e4c8c77a12d610a490f0b1dbdd,Detalj
Diakonhjemmet sykehus AS,diakonhjemmet.sykehus.as@eksempel.no,ac5deaff7ea7ca14ba55630ef532314b,Detalj
Martina Hansens Hospital,martina.hansens.hospital@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Helse Fonna HF,helse.fonna.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Helse Møre og Romsdal HF,helse.møre.og.romsdal.hf@eksempel.no,f8c1320876821282a7c6964ced36d15d,Detalj
Sunnaas sykehus HF,sunnaas.sykehus.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Nordlandssykehuset HF,nordlandssykehuset.hf@eksempel.no,15272992f7b06e03bec1b0dc00860aca,Referanse
Finnmarkssykehuset HF,finnmarkssykehuset.hf@eksempel.no,15272992f7b06e03bec1b0dc00860aca,Referanse
Haraldsplass Diakonale Sykehus AS,haraldsplass.diakonale.sykehus.as@eksempel.no,e0e91091a913c8c0ca9fb54de1618f9c,Referanse
Sykehuset Telemark HF,sykehuset.telemark.hf@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Betanien Hospital Skien,betanien.hospital.skien@eksempel.no,b010a0a4acedaa6680c8497ddeac3f0f,Detalj
Sørlandet sykehus HF,sørlandet.sykehus.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Haraldsplass Diakonale Sykehus AS,haraldsplass.diakonale.sykehus.as@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Betanien Hospital Skien,betanien.hospital.skien@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Helse Bergen HF,helse.bergen.hf@eksempel.no,e0e91091a913c8c0ca9fb54de1618f9c,Referanse
Universitetssykehuset Nord-Norge HF,universitetssykehuset.nord-norge.hf@eksempel.no,15272992f7b06e03bec1b0dc00860aca,Referanse
Helse Fonna HF,helse.fonna.hf@eksempel.no,e0e91091a913c8c0ca9fb54de1618f9c,Referanse
Sykehuset Østfold HF,sykehuset.østfold.hf@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Solli sykehus AS,solli.sykehus.as@eksempel.no,50dd2fa9aaf9f35bd1f638242c5018c3,Detalj
Helgelandssykehuset HF,helgelandssykehuset.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Helse Nord-Trøndelag HF,helse.nord-trøndelag.hf@eksempel.no,3412aac9823efaa7a9b4f1bb2fb3a6f7,Referanse
Martina Hansens Hospital,martina.hansens.hospital@eksempel.no,15ce2e2864ace70b65381c11dd64a81a,Detalj
Nordlandssykehuset HF,nordlandssykehuset.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Sykehuset Innlandet HF,sykehuset.innlandet.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Sykehuset Østfold HF,sykehuset.østfold.hf@eksempel.no,8f9c76ffff62195228d06bd75314b34b,Detalj
Helse Stavanger HF,helse.stavanger.hf@eksempel.no,802ffa667c5bc1c5a6c585147c4858b5,Detalj
Helse Fonna HF,helse.fonna.hf@eksempel.no,b9797f0ace518f99ff46da6736982457,Detalj
